Molecule,Category,Brand,SKU,Value25,Unit25,GrowthValue25,GrowthUnit25
 HOOVER PHARMACEUTI,  CLINDAMYCIN,   DAYMAC             HVR,,"996,710","11,726",36.24,36.24
 CARAWAY PHARMA,  CLINDAMYCIN,   CYINE              CWH,,"44,315",339,-37.91,-37.91
 PFIZER PAKISTAN,  CLINDAMYCIN,   DALACIN C          PFZ,,"164,534,638","321,640",-49.02,-50.15
 KAIZEN PHARMA PVT,  CLINDAMYCIN,   UNICLIN            KK9,,"93,267",627,-36.98,-36.98
 ICON PHARMA,  CLINDAMYCIN,   CLINDAMYCIN        IC+,,0,0,-100.00,-100.00
 PFIZER PAKISTAN,  CLINDAMYCIN,   DALACIN C          PFZ,,"33,886,227","114,592",56.21,49.47
 PACIFIC,  CLOMIFENE,   CLOMID             PCF,,"376,645,635","710,602",29.59,14.98
 NABIQASIM,  CLOMIFENE,   CLOMITAB           NQM,,"67,136,660","140,757",0.66,-8.08
 MARTIN DOW MARKER,  CLOMIFENE,   OVI-F              MDM,,"64,617,759","192,222",-8.13,-14.48
 HILTON,  CLOMIFENE,   CEROPHENE          HL.,,"56,118,020","47,158",-2.96,-9.19
 STANLEY PHARMA,  CLOMIFENE,   HEX                STY,,"28,750,876","153,748",6.72,6.72
 SAMI,  CLOMIFENE,   SAMCLOM            SAM,,"25,363,271","88,303",16.56,16.56
 ASPIN PHARMA PVT.,  CLOMIFENE,   OVAFIN             A-V,,"22,585,777","64,588",-14.27,-19.17
 PHARMEDIC,  CLOMIFENE,   CLOMINOL           PHD,,"17,000,429","48,428",1.64,-13.87
 SAFFRON PHARMA,  CLOMIFENE,   NAMET              SAF,,"16,882,908","52,512",9.66,3.71
 HORIZON HEALTHCARE,  CLOMIFENE,   PHENOMI            HHC,,"10,717,344","13,134",3.95,2.60
 SHAIGAN PHARMA,  CLOMIFENE,   FERTAB             SHM,,"9,586,646","28,923",-5.23,-14.49
 HOWARDS,  CLOMIFENE,   CLOFER             HOW,,"6,920,341","13,076",4.29,4.29
 PLATINUM PHARMA,  CLOMIFENE,   FERTICLO           P/P,,"4,146,067","16,257",2.50,-5.20
 WIMITS PHARMA,  CLOMIFENE,   SYAFEN             WMT,,"4,106,985","12,723",33.27,7.83
 OPAL,  CLOMIFENE,   FLORID             OP/,,"3,831,760","12,830",20.09,12.69
 ZAFA,  CLOMIFENE,   GYNOFEN            ZAF,,"1,207,408","4,439",-62.93,-62.93
 MEDICRAFT,  CLOMIFENE,   HOPE               MDC,,"739,500","4,350",13.64,13.64
 GLOBAL,  CLOMIFENE,   FEMEG              GLB,,"639,999","1,068",999.00,999.00
 FYNK PHARMA,  CLOMIFENE,   HICLOFEN-C         FYK,,"551,616","4,056",999.00,999.00
 SAYDON PHAR.,  CLOMIFENE,   CLOMEDON           SY3,,"450,342","2,286",576.33,576.33
 CHIESI FARMACEUTIC,  CLOMIFENE,   PROLIFEN           CHS,,"223,697,175","398,974",3.37,-4.64
 LIBRA,  CLOMIFENE,   BEMOT              LBA,,"873,957","2,603",137.54,101.31
 EFROZE,  METHYLESTRADIOL+METHYLESTRENOLONE,   GYNAECOSID         EFR,,"131,959,523","1,609,147",129.28,8.79
 SHAIGAN PHARMA,  METHYLESTRADIOL+METHYLESTRENOLONE,   GYNOMIN            SHM,,"1,887,043","12,686",999.00,999.00
 ZAFA,  METHYLESTRADIOL+METHYLESTRENOLONE,   MENTONA            ZAF,,"1,168,147","23,908",83.30,83.30
 HIGH-Q INTL,  IRON FERROUS,   HIFER              HQI,,"250,980,148","110,721",-12.65,-12.65
 VISION PHARMA,  IRON FERROUS,   VISOFER            VP8,,"189,422,820","151,085",17.52,17.52
 BARRETT HODGSON,  IRON FERROUS,   IVEFER             BGO,,"140,540,915","76,996",5.43,-8.40
 BOSCH,  IRON FERROUS,   MEROFER            B6H,,"92,508,815","57,281",18.21,9.21
 SHAIGAN PHARMA,  IRON FERROUS,   IROSE              SHM,,"91,924,060","65,543",11.67,5.77
 NABIQASIM,  IRON FERROUS,   MEGAFER            NQM,,"85,335,591","62,786",-22.36,-22.36
 GLOBAL,  IRON FERROUS,   G-FER              GLB,,"79,446,780","77,889",19.11,19.11
 BOSCH,  IRON FERROUS,   CLEFER             B6H,,"62,627,352","40,617",33.45,24.88
 GLOBAL,  IRON FERROUS,   IRO-SUR            GLB,,"41,540,775","32,581",37.29,37.29
 HELIX PHARMA PVT L,  IRON FERROUS,   IRONAL-S           HX4,,"28,611,170","24,043",-20.97,-22.60
 WIMITS PHARMA,  IRON FERROUS,   EPICARE            WMT,,"25,124,201","24,428",-0.39,-9.33
 SAFFRON PHARMA,  IRON FERROUS,   NORMIRON           SAF,,"19,312,311","16,287",39.10,39.10
 CARAWAY PHARMA,  IRON FERROUS,   CARA-FER           CWH,,"13,592,357","10,032",43.88,23.02
 GETZ PHARMA,  IRON FERROUS,   FEROTEIN-S         GTZ,,"13,478,237","6,970",-41.71,-52.59
 FYNK PHARMA,  IRON FERROUS,   FERSOX             FYK,,"13,308,070","10,101",26.92,-15.56
 SWISS PHARMA,  IRON FERROUS,   ROPLEX-S           SW-,,"13,161,597","9,535",999.00,999.00
 HILTON,  IRON FERROUS,   FEROSOFT-S         HL.,,"11,536,965","6,855",-22.40,-23.49
 STANDPHARM,  IRON FERROUS,   HADID              STH,,"8,522,145","6,496",18.46,13.21
 KAIR PHARMA,  IRON FERROUS,   IPASE              KPA,,"4,983,941","2,844",-22.41,-24.82
 PHARMASOL PVT.LTD,  IRON FERROUS,   FEROJECT           PSL,,"4,227,900","3,316",211.07,211.07
 HILTON,  IRON FERROUS,   FEROSOFT           HL.,,"85,881,570","274,575",16.77,11.21
 RG PHARMA PVT LTD,  IRON FERROUS,   IRONONE            RGP,,"55,301,361","284,355",10.92,3.58
 TABROS PHARMA,  IRON FERROUS,   FERRY              T9P,,"35,087,890","194,901",11.11,4.45
 HELIX PHARMA PVT L,  IRON FERROUS,   IRONAL             HX4,,"21,489,271","109,238",6.22,0.57
 INDUS,  IRON FERROUS,   INDOFER            IND,,"18,265,697","160,085",-10.25,-10.25
 SAFFRON PHARMA,  IRON FERROUS,   ACEFER             SAF,,"11,572,303","63,158",-6.18,-10.62
 VISION PHARMA,  IRON FERROUS,   FEROMALT           VP8,,"8,376,843","103,710",-31.08,-25.42
 SHAIGAN PHARMA,  IRON FERROUS,   IROTON             SHM,,"8,015,716","69,042",16.24,5.73
 GLITZ PHARMA,  IRON FERROUS,   FEROLITZ           G6Z,,"6,118,640","44,990",86.26,86.26
 DAVIS PHARMA,  IRON FERROUS,   MALTOVIS           DVI,,"2,529,184","18,201",-24.50,-30.96
 GLITZ PHARMA,  IRON FERROUS,   GLITCURE           G6Z,,"2,264,021","12,224",-36.24,-29.28
 GLITZ PHARMA,  IRON FERROUS,   GLOFT              G6Z,,"1,836,946","11,289",-13.21,-13.21
 PLATINUM PHARMA,  IRON FERROUS,   APOFER             P/P,,"1,335,689","8,340",6.41,-2.07
 THE SCHAZOO PHARMA,  IRON FERROUS,   HEMIFERE           TSM,,"1,144,010","19,227",14.50,14.50
 RASCO PHARMA,  IRON FERROUS,   POLYHAEM           RPH,,"904,489","8,051",232.18,220.88
 KAAP PHARMA,  IRON FERROUS,   FEROX              KH+,,"866,109","6,793",26.81,26.81
 AKSON PHARMA,  IRON FERROUS,   HEMITOSE           AK/,,"819,128","6,340",999.00,999.00
 GT PHARMA PVT.LTD.,  IRON FERROUS,   CHELIRON           GT.,,"778,898","6,109",-1.17,-1.72
 SCOTMANN PHARMA,  IRON FERROUS,   FERSIP             SC2,,"489,838","3,011",-84.35,-88.56
 MACQUIN INTL,  IRON FERROUS,   M-CARRY            MCQ,,"459,876","4,585",999.00,999.00
 RG PHARMA PVT LTD,  IRON FERROUS,   IRONONE            RGP,,"150,807,237","290,832",-15.31,-21.66
 TABROS PHARMA,  IRON FERROUS,   FERRY              T9P,,"6,832,622","24,012",-7.84,-14.69
 NEUTRO PHARMA,  IRON FERROUS,   LACTOSOME          N/P,,"33,278",49,999.00,999.00
 GREENSTAR,  IRON FERROUS,   ENOFER             GSA,,"83,924,784","68,566",-21.16,-21.16
 HORIZON HEALTHCARE,  IRON FERROUS,   IONA               HHC,,"32,948,720","48,454",2.00,0.05
 ZAFA,  IRON FERROUS,   IROFIT             ZAF,,"15,017,853","7,257",-11.56,-12.66
 BIO-LABS,  IRON FERROUS,   IROPAS             BI-,,"11,934,850","7,390",64.32,57.97
 MASS-PHARMA HEALTH,  IRON FERROUS,   VERIENT            M4P,,"7,236,180","7,059",-22.30,-22.30
 CELL LABORATORIES,  IRON FERROUS,   IROCELL            .A2,,"1,190,850",934,-30.09,-30.09
 CHIESI FARMACEUTIC,  IRON FERROUS,   IROJECT            CHS,,"87,969",65,-98.95,-98.95
 MEDIATE PHARMA,  IRON FERROUS,   MEDI-IS            MDP,,0,0,-100.00,-100.00
 SEARLE BIOSCIENCES,  IRON FERROUS,   RAPIR              SBS,,0,0,0.00,0.00
 HILTON,  IRON FERROUS,   FEROSOFT           HL.,,"55,608,287","262,737",0.73,-2.32
 ASTER LIFE SCIENCE,  IRON FERROUS, PARENT ORD IV VIALS,,"52,958,400","124,608",999.00,999.00
 RG PHARMA PVT LTD,  IRON FERROUS,   FERVIAL            RGP,,"52,958,400","124,608",999.00,999.00
 HILTON,  IRON FERROUS,   FEROSOFT           HL.,,"17,071,963","62,037",27.74,21.52
 SHAIGAN PHARMA,  IRON FERROUS,   IROTON             SHM,,"14,118,416","50,208",23.44,13.08
 ROTEX PHARMA,  IRON FERROUS,   MEGATRON           RTX,,"349,410","3,678",999.00,999.00
 LIFE PHARMA. CO.,  IRON FERROUS,   FERRY-CIN          LIE,,"277,211",901,999.00,999.00
 MEDISURE LABS,  IRON FERROUS,   CHEWRON            MDS,,"138,697","2,331",-7.68,-7.68
 GLITZ PHARMA,  IRON FERROUS,   GLOFT              G6Z,,"7,069",68,999.00,999.00
 INDUS,  IRON FERROUS,   INDOFER            IND,,0,0,-100.00,-100.00
 ALBRO,  IRON FERROUS,   MAXIFER            ALB,,0,0,0.00,0.00
 GT PHARMA PVT.LTD.,  IRON FERROUS,   CHELIRON           GT.,,"6,094,469","31,240",-44.08,-48.03
 DAVIS PHARMA,  IRON FERROUS,   MALTOVIS           DVI,,"727,486","9,318",-44.97,-49.29
 SCOTMANN PHARMA,  IRON FERROUS,   FERSIP             SC2,,"372,810","3,929",-85.24,-88.10
 NAWABSONS,  IRON FERROUS,   FERROUS SULPHATE   NAW,,"316,876","45,268",119.89,129.80
 UNEXO LABS,  IRON FERROUS,   FERROUS SULPHATE   UNE,,"238,332","19,861",116.99,116.99
 GOURMET NUTRITION,  IRON FERROUS,   BIC                GUN,,"135,784",674,-47.30,-47.30
 DYSON LABS,  IRON FERROUS,   FANTOMALT          DY6,,"125,971",760,124.90,96.89
 RASCO PHARMA,  IRON FERROUS,   POLYHAEM           RPH,,"123,405","2,074",161.21,161.21
 SAIFVENT PHARMA,  IRON FERROUS,   HEALTOFER          SVE,,"69,279",846,999.00,999.00
 PANACEA PHARMA,  IRON FERROUS,   DEWFER             PN1,,"9,699",163,999.00,999.00
 VISION PHARMA,  IRON FERROUS,   FEROMALT           VP8,,"7,225",100,-98.39,-98.39
 IRZA PHARMA,  IRON FERROUS,   FERROUS SULPHATE   IRZ,,"6,672","1,668",31.24,31.24
 IPHCO P,  IRON FERROUS,   FERROUS SULPHATE   IPH,,"5,002","1,429",999.00,999.00
 K.C.I.,  IRON FERROUS,   FERROUS SULPHATE   KCI,,"1,724",338,538.52,537.74
 MIAN BROS LABS.,  IRON FERROUS,   FERROUS SULPHATE   MBL,,0,0,-100.00,-100.00
 CARAWAY PHARMA,  IRON FERROUS,   OFERA              CWH,,0,0,-100.00,-100.00
 CANDID PHARMACEU,  IRON FERROUS,   PLEXIFER           CDD,,0,0,-100.00,-100.00
 ZAM ZAM PHARMA,  IRON FERROUS,   PLEXA              ZZA,,0,0,0.00,0.00
 EXCEL HEALTH CARE,  IRON FERROUS,   REDIFER            EXC,,0,0,0.00,0.00
 MARTIN DOW LIMITED,  IRON FERROUS,   MALCIFER           MD.,,0,0,-100.00,-100.00
 AMSON VACC. PH PVT,  IRON FERROUS,   CARIONJECT         AMV,,"2,614,600",769,-69.88,-69.88
 GENETICS PHARMA,  IRON FERROUS,   FIBOZID            G9P,,"70,720",26,-79.20,-79.20
 GLITZ PHARMA,  IRON FERROUS,   FEROLITZ           G6Z,,"2,636,753","7,954",-37.91,-37.91
 AKSON PHARMA,  IRON FERROUS,   FERIJET            AK/,,"289,850",341,999.00,999.00
 L.C.I,  IRON FERROUS,   LIPIRON            ICI,,"28,502",95,-98.24,-98.30
 HOECHST PAK. LTD.,  METRONIDAZOLE,   FLAGYL             HHK,,"4,004,549,620","5,250,276",46.33,9.31
 PLATINUM PHARMA,  METRONIDAZOLE,   GRAMEX             P/P,,"40,436,835","202,713",38.60,23.14
 POPULAR CHEM.WORKS,  METRONIDAZOLE,   METRONIDAZOLE      PCW,,"21,748,328","156,105",-52.78,-53.16
 ZAFA,  METRONIDAZOLE,   METRIDA            ZAF,,"3,020,262","10,507",-17.60,-22.58
 FYNK PHARMA,  METRONIDAZOLE,   FYNIDAZOLE         FYK,,"1,554,225","5,865",-9.27,-9.27
 UNEXO LABS,  METRONIDAZOLE,   METROGYL           UNE,,"284,441","6,454",-68.94,-70.19
 MEDIATE PHARMA,  METRONIDAZOLE,   METROATE           MDP,,"36,210",426,-53.90,-53.90
 MEGA PHARMA,  METRONIDAZOLE,   ECOGYL             M7A,,0,0,0.00,0.00
 SIZA,  METRONIDAZOLE,   METROZIL           SIZ,,0,0,-100.00,-100.00
 SPENCER PHARMA,  METRONIDAZOLE,   TRICHOZOLE         S2P,,0,0,-100.00,-100.00
 HOECHST PAK. LTD.,  METRONIDAZOLE,   FLAGYL             HHK,,"1,862,345,655","11,382,449",12.16,7.72
 BOSCH,  METRONIDAZOLE,   FLAZOL             B6H,,"399,440,760","2,694,292",35.02,7.88
 BOSCH,  METRONIDAZOLE,   TROZ               B6H,,"160,131,185","1,079,671",50.23,20.89
 STANDPHARM,  METRONIDAZOLE,   PROTOXIL           STH,,"67,510,588","483,705",99.71,-1.27
 THE SEARLE COMPANY,  METRONIDAZOLE,   METROZINE          SEA,,"58,251,775","417,875",117.07,61.52
 SURGE LABS,  METRONIDAZOLE,   INTOBIX            SUG,,"41,460,646","290,512",15.07,-2.51
 GLOBAL,  METRONIDAZOLE,   ANAROB             GLB,,"32,472,747","489,785",-22.71,-22.71
 PACIFIC,  METRONIDAZOLE,   MEITREO            PCF,,"25,381,436","184,664",119.77,56.28
 OTSUKA,  METRONIDAZOLE,   OTSUZOL            OTS,,"19,958,350","204,701",-38.49,-38.49
 INDUS,  METRONIDAZOLE,   FLATOX             IND,,"12,504,599","120,596",-25.70,-25.70
 NEUTRO PHARMA,  METRONIDAZOLE,   NEUTROZOL          N/P,,"11,929,852","85,580",999.00,999.00
 SIZA,  METRONIDAZOLE,   METROZIL           SIZ,,"7,704,921","116,213",139.92,139.92
 BIO-LABS,  METRONIDAZOLE,   METROZOLE          BI-,,"5,415,314","36,947",999.00,999.00
 MEDIPAK,  METRONIDAZOLE,   MEDIGYL            MPK,,"4,979,064","75,099",35.51,35.51
 S.P.I.C.,  METRONIDAZOLE,   METRONIDAZOLE      SP&,,"2,481,616","155,101",-30.21,-30.21
 RAAZEE THERAPEUTIC,  METRONIDAZOLE,   NAROBE             RZT,,"1,138,317","19,988",555.56,555.56
 OPSO SALINE,  METRONIDAZOLE,   METRO              O/S,,"1,075,692","21,092",4.25,4.25
 BENTLEY PHARMA,  METRONIDAZOLE,   MURAZOL            BTP,,"96,984","6,257",999.00,999.00
 LAGAP,  METRONIDAZOLE,   METROLAG           LAG,,"75,379",846,999.00,999.00
 MEDIFLOW,  METRONIDAZOLE,   FLOW MTZ EURO      MFW,,0,0,-100.00,-100.00
 HOECHST PAK. LTD.,  METRONIDAZOLE,   FLAGYL             HHK,,"1,212,127,063","9,987,139",-0.70,-6.72
 THE SEARLE COMPANY,  METRONIDAZOLE,   METROZINE          SEA,,"406,601,329","5,310,243",21.08,13.53
 STANLEY PHARMA,  METRONIDAZOLE,   RIAM               STY,,"163,392,187","1,643,596",10.43,19.24
 OPAL,  METRONIDAZOLE,   OPOZOL             OP/,,"140,499,171","2,607,783",12.87,1.57
 ZAFA,  METRONIDAZOLE,   METRIDA            ZAF,,"2,514,841","48,521",28.93,28.51
 SAMI,  METRONIDAZOLE,   KLINT              SAM,,"2,141,517","29,460",-93.66,-94.40
 WIMITS PHARMA,  METRONIDAZOLE,   METOGYL            WMT,,"1,270,179","30,459",-38.43,-43.94
 MEDICON,  METRONIDAZOLE,   MEDIZOLE           MI/,,"956,080","119,510",143.86,143.86
 FYNK PHARMA,  METRONIDAZOLE,   FYNIDAZOLE         FYK,,"534,489","13,919",40.81,40.81
 GLITZ PHARMA,  METRONIDAZOLE,   GRANID             G6Z,,"528,982","11,949",-38.99,-43.46
 JAWA PHARMA,  METRONIDAZOLE,   METZOL             JWP,,"281,458","4,204",999.00,999.00
 RASCO PHARMA,  METRONIDAZOLE,   RESGYL             RPH,,"246,764","19,741",-38.54,-38.54
 LISKO,  METRONIDAZOLE,   FLYZOL             LSK,,"222,006","5,936",999.00,999.00
 TITLIS PHARMA,  METRONIDAZOLE,   METROLIS           TLP,,"183,485","1,845",98.39,98.39
 ISIS PHARMA,  METRONIDAZOLE,   EFLARAN            ISS,,"165,961","9,059",999.00,999.00
 CARE PHARMACEUTICA,  METRONIDAZOLE,   INSTACARE          C+P,,"141,690","9,446",-28.67,-28.67
 SIZA,  METRONIDAZOLE,   METROZIL           SIZ,,"132,028","4,854",37.70,37.70
 MARVI,  METRONIDAZOLE,   METROZOLE          MAR,,"115,286","7,535",-8.15,-8.15
 WERRICK PHARMA,  METRONIDAZOLE,   MENIDAZOLE         WRP,,"10,985",359,-93.86,-93.86
 KARMANN PHARMA,  METRONIDAZOLE,   PROZYL             KRP,,"1,724",78,999.00,999.00
 STANLEY PHARMA,  METRONIDAZOLE,   RIAM               STY,,"202,149,977","629,771",11.43,-3.89
 THE SEARLE COMPANY,  METRONIDAZOLE,   METROZINE          SEA,,"188,435,829","719,429",-3.25,-7.34
 SWISS PHARMA,  METRONIDAZOLE,   DIAGYL             SW-,,"2,053,750","7,344",999.00,999.00
 RASCO PHARMA,  METRONIDAZOLE,   RESGYL             RPH,,"1,376,660","27,557",-51.52,-53.21
 MUNAWAR PHARMA,  METRONIDAZOLE,   METRONIDAZOLE      MNW,,"777,825","10,371",335.57,335.57
 SAFE PHARMA,  METRONIDAZOLE,   FASIGYL            S+F,,"595,850","1,793",203.65,90.95
 GLITZ PHARMA,  METRONIDAZOLE,   GRANID             G6Z,,"114,460",596,174.65,174.65
 KATRINA PHAR.,  METRONIDAZOLE,   METRONIDAZOLE      KAT,,"31,950",426,-84.90,-84.90
 SIZA,  METRONIDAZOLE,   METRONIDAZOLE      SIZ,,"28,118",345,-32.22,-32.22
 UMERSONS,  METRONIDAZOLE,   DYSO 4             UMR,,0,0,-100.00,-100.00
 SAMI,  METRONIDAZOLE,   KLINT              SAM,,0,0,-100.00,-100.00
 NAWABSONS,  METRONIDAZOLE,   METRONIDAZOLE      NAW,,0,0,0.00,0.00
 ALBRO,  METRONIDAZOLE,   PROMET             ALB,,0,0,-100.00,-100.00
 HARMANN,  METRONIDAZOLE,   PROTOGYL           HAR,,0,0,0.00,0.00
 SEMOS PHARMA,  METRONIDAZOLE,   SEMODAZOL          SMS,,0,0,-100.00,-100.00
 ASTER LIFE SCIENCE,  METRONIDAZOLE, PARENT ORD VIALS,,"56,706,891","479,632",34.34,32.01
 KAIR PHARMA,  METRONIDAZOLE,   MIDAZOLE           KPA,,"56,706,891","479,632",34.34,32.01
 SHAIGAN PHARMA,  METRONIDAZOLE,   METNI V            SHM,,"12,905,440","77,052",15.36,7.43
 KAIZEN PHARMA PVT,  METRONIDAZOLE,   REVOMET            KK9,,"1,863,195","22,657",5.55,-8.20
 SAFE PHARMA,  METRONIDAZOLE,   FASIGYL            S+F,,"102,417","1,480",-18.02,-45.67
 HASSAN PHARMA,  METRONIDAZOLE,   METROFED           HP.,,0,0,0.00,0.00
 SPENCER PHARMA,  METRONIDAZOLE,   TRICHOZOLE         S2P,,0,0,-100.00,-100.00
 SHAIGAN PHARMA,  BROMOCRIPTINE,   BROTIN             SHM,,"172,141,585","306,122",17.38,4.68
 EXCEL HEALTH CARE,  LETROZOLE,   LEZRA              EXC,,"470,776,746","68,552",11.76,11.76
 GALAXY PHARMA PVT.,  LETROZOLE,   AROMEK             GXP,,"241,955,413","70,880",21.65,-6.90
 HIGH-Q INTL,  LETROZOLE,   LETOCOR            HQI,,"134,536,091","66,225",24.45,24.45
 ATCO,  LETROZOLE,   ACUELETZ           AT3,,"92,477,000","66,055",999.00,999.00
 GENIX PHARMA,  LETROZOLE,   LETS               GX4,,"92,463,680","33,994",0.73,-6.33
 NABIQASIM,  LETROZOLE,   ESTROLET           NQM,,"82,126,660","43,918",11.57,11.57
 SAFFRON PHARMA,  LETROZOLE,   ZOLARA             SAF,,"56,856,500","23,137",50.92,24.72
 SAMI,  LETROZOLE,   GRUDIZ             SAM,,"51,953,700","30,561",662.31,662.31
 HORIZON HEALTHCARE,  LETROZOLE,   ROZOLET            HHC,,"49,246,365","27,589",10.36,7.85
 HIGHNOON,  LETROZOLE,   HITASE             HIG,,"40,358,000","23,740",14.85,14.85
 PHARMEVO PVT. LTD.,  LETROZOLE,   RETZOLE            PV-,,"32,171,480","22,264",-21.25,-21.25
 BRISTOL MAYER BIOT,  LETROZOLE,   BRISTOZOLE         BMB,,"30,750,790","51,682",140.26,140.26
 MARTIN DOW LIMITED,  LETROZOLE,   LEBRETA            MD.,,"28,164,750","7,574",149.04,326.94
 HELIX PHARMA PVT L,  LETROZOLE,   OOLET              HX4,,"24,762,795","15,333",23.38,23.38
 BOSCH,  LETROZOLE,   LETROSCH           B6H,,"21,724,300","12,779",999.00,999.00
 SAFE PHARMA,  LETROZOLE,   LETROCOR           S+F,,"18,703,581","2,453",63.84,-13.17
 NEUTRO PHARMA,  LETROZOLE,   NEULETROZ          N/P,,"16,978,750","19,975",-13.01,-13.01
 SCOTMANN PHARMA,  LETROZOLE,   SENORA             SC2,,"13,477,175","13,378",-10.71,-22.78
 CELL LABORATORIES,  LETROZOLE,   CELLZOL            .A2,,"11,381,500","2,678",-59.08,-59.08
 NOVARTIS ONCOLOGY,  LETROZOLE,   FEMARA             NO.,,"244,534,361","23,494",41.78,38.30
 PHARMEDIC,  LETROZOLE,   LETROZONE          PHD,,"50,273,250","25,390",23.72,6.23
 SERAPH PHARMA,  LETROZOLE,   SELET              S0A,,"24,991,020","16,334",151.80,151.80
 GENETICS PHARMA,  LETROZOLE,   AVEGEST            G9P,,"22,715,400","4,454",-28.66,-29.61
 ACUMEN PHARMA,  LETROZOLE,   LETROWIN           ACP,,"21,115,275","11,873",43.53,67.13
 MASS-PHARMA HEALTH,  LETROZOLE,   FEMPRO             M4P,,"17,499,800","7,784",12.90,-8.15
 PACIFIC,  LETROZOLE,   FEMIZOLE           PCF,,"12,108,675","2,887",-38.22,-24.88
 BIO-LABS,  LETROZOLE,   LETFER             BI-,,0,0,0.00,0.00
 AGP LIMITED,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSNATE-D           A.G,,"1,844,700,772","3,945,884",24.60,7.05
 GETZ PHARMA,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSAM-D             GTZ,,"97,662,979","212,237",-5.31,-21.03
 ASIAN CONTINENTAL,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   SCOXY              AP&,,"28,880,294","143,577",3.72,-5.76
 SHAIGAN PHARMA,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   ZYBON-D            SHM,,"19,828,035","77,757",11.31,11.31
 BARRETT HODGSON,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   ESEGROW D          BGO,,"18,223,959","61,257",-2.58,-8.40
 CARAWAY PHARMA,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   COSMOCAL-D         CWH,,0,0,-100.00,-100.00
 SAMI,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   INTIG-D            SAM,,"433,290,993","1,067,401",-12.17,-18.56
 MARTIN DOW LIMITED,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   CAL-ONE-D          MD.,,"256,529,704","624,844",22.15,15.21
 SYNTEC INTL PVT L,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSSOBON-D          SY&,,"105,035,907","593,031",33.56,5.76
 GENIX PHARMA,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OMC-D              GX4,,"75,780,352","162,097",16.36,-8.09
 AMSON VACC. PH PVT,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSSO-D             AMV,,"48,330,031","179,307",25.34,7.52
 NABIQASIM,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OGNIS-D            NQM,,"37,132,854","109,488",-31.09,-31.74
 NEUTRO PHARMA,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSS-PRO            N/P,,"37,084,474","120,304",79.45,32.54
 GLOBAL,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSSOMIN-D          GLB,,"24,216,969","103,602",7.17,7.17
 CONTINENTAL PHARMA,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   BONMIN             C.P,,"22,094,412","70,519",-7.45,-19.81
 HELIX PHARMA PVT L,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSPLEX-D           HX4,,"9,800,440","37,739",-5.11,-6.39
 HIRANIS PHARMACEUT,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSICOM-D           HIR,,"7,578,081","25,377",4.17,-51.08
 HIMONT PHARMA,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSMIN-D3           HTP,,"4,858,566","7,899",78.24,-5.49
 KAIZEN PHARMA PVT,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSSVIT-D           KK9,,"245,480","1,805",67.75,67.75
 AGP LIMITED,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSNATE-D           A.G,,"397,769,910","779,941",17.23,9.10
 SAMI,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   INTIG-D            SAM,,"220,360,603","935,289",9.78,-0.19
 MARTIN DOW LIMITED,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   CAL-ONE-D          MD.,,"111,707,922","334,704",9.27,-3.68
 SYNTEC INTL PVT L,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSSOBON-D          SY&,,"66,510,854","308,636",6.74,-17.09
 CONTINENTAL PHARMA,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   BONMIN             C.P,,"21,606,941","92,438",-6.19,-10.85
 AMSON VACC. PH PVT,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OSSO-D             AMV,,"19,908,957","42,586",999.00,999.00
 NABIQASIM,  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX,   OGNIS-D            NQM,,"13,356,811","47,621",-39.29,-39.80
